Company Name,Location,Datum,Detail,Status Rocket, Rocket,Status Mission
ISRO,"Satish Dhawan, India",Sep 02 2023 06:20 UTC,Aditya-L1 (Solar Mission),PSLV-XL,StatusActive,45.0,Success
CASC,"LC-3, Xichang, China",Aug 31 2023 07:36 UTC,Yaogan 39-01,Long March 2D,StatusActive,29.7,Success
SpaceX,"SLC-40, Cape Canaveral, FL, USA",Aug 27 2023 01:05 UTC,Starlink Group 6-11,Falcon 9 Block 5,StatusActive,52.0,Success
SpaceX,"LC-39A, Kennedy Space Center, FL",Aug 26 2023 07:27 UTC,Crew-7 (Endurance),Falcon 9 Block 5,StatusActive,145.0,Success
Rocket Lab,"LC-1B, Mahia, NZ",Aug 23 2023 23:45 UTC,We Love The Nightlife,Electron,StatusActive,7.5,Success
Roscosmos,"Site 31/6, Baikonur, Kaz",Aug 23 2023 13:08 UTC,Progress MS-24,Soyuz 2.1a,StatusActive,48.5,Success
SpaceX,"SLC-4E, Vandenberg, CA, USA",Aug 22 2023 09:33 UTC,Starlink Group 7-1,Falcon 9 Block 5,StatusActive,52.0,Success
SpaceX,"SLC-40, Cape Canaveral, FL, USA",Aug 17 2023 03:36 UTC,Starlink Group 6-10,Falcon 9 Block 5,StatusActive,52.0,Success
SpaceX,"SLC-40, Cape Canaveral, FL, USA",Aug 11 2023 05:17 UTC,Starlink Group 6-9,Falcon 9 Block 5,StatusActive,52.0,Success
Roscosmos,"Vostochny, Russia",Aug 10 2023 23:10 UTC,Luna 25 (Lunar Lander),Soyuz 2.1b / Fregat,StatusActive,100.0,Failure
CASC,"LC-3, Xichang, China",Aug 12 2023 17:26 UTC,L-SAR 01A,Long March 3B/E,StatusActive,50.0,Success
SpaceX,"SLC-4E, Vandenberg, CA, USA",Aug 08 2023 03:57 UTC,Starlink Group 6-20,Falcon 9 Block 5,StatusActive,52.0,Success
SpaceX,"SLC-40, Cape Canaveral, FL, USA",Aug 07 2023 02:41 UTC,Starlink Group 6-8,Falcon 9 Block 5,StatusActive,52.0,Success
SpaceX,"SLC-40, Cape Canaveral, FL, USA",Aug 03 2023 05:00 UTC,Galaxy 37,Falcon 9 Block 5,StatusActive,62.0,Success
ISRO,"Satish Dhawan, India",Jul 30 2023 01:01 UTC,DS-SAR & 6 others,PSLV-CA,StatusActive,20.0,Success
SpaceX,"LC-39A, Kennedy Space Center, FL",Jul 29 2023 03:04 UTC,Jupiter-3 (EchoStar 24),Falcon Heavy,StatusActive,150.0,Success
SpaceX,"SLC-40, Cape Canaveral, FL, USA",Jul 28 2023 04:04 UTC,Starlink Group 6-7,Falcon 9 Block 5,StatusActive,52.0,Success
SpaceX,"SLC-40, Cape Canaveral, FL, USA",Jul 24 2023 00:50 UTC,Starlink Group 6-6,Falcon 9 Block 5,StatusActive,52.0,Success
CASC,"LC-9, Jiuquan, China",Jul 23 2023 02:50 UTC,Yaogan 34-04,Long March 4C,StatusActive,30.0,Success
SpaceX,"SLC-4E, Vandenberg, CA, USA",Jul 20 2023 04:09 UTC,Starlink Group 6-15,Falcon 9 Block 5,StatusActive,52.0,Success
Rocket Lab,"LC-1A, Mahia, NZ",Jul 18 2023 01:27 UTC,Baby Come Back,Electron,StatusActive,7.5,Success
SpaceX,"SLC-40, Cape Canaveral, FL, USA",Jul 16 2023 03:50 UTC,Starlink Group 5-15,Falcon 9 Block 5,StatusActive,52.0,Success
ISRO,"Satish Dhawan, India",Jul 14 2023 09:05 UTC,Chandrayaan-3 (Lunar Lander),LVM3 M4,StatusActive,75.0,Success
LandSpace,"LC-9, Jiuquan, China",Jul 12 2023 01:00 UTC,Zhuque-2 (Methane Engine),Zhuque-2,StatusActive,25.0,Success
SpaceX,"SLC-40, Cape Canaveral, FL, USA",Jul 10 2023 03:58 UTC,Starlink Group 6-5,Falcon 9 Block 5,StatusActive,52.0,Success
SpaceX,"SLC-4E, Vandenberg, CA, USA",Jul 07 2023 19:29 UTC,Starlink Group 5-13,Falcon 9 Block 5,StatusActive,52.0,Success
Arianespace,"Guiana Space Centre",Jul 05 2023 22:00 UTC,Heinrich Hertz & Syracuse 4B,Ariane 5 ECA+,StatusRetired,175.0,Success
SpaceX,"SLC-40, Cape Canaveral, FL, USA",Jul 01 2023 15:12 UTC,Euclid (ESA Telescope),Falcon 9 Block 5,StatusActive,145.0,Success
Roscosmos,"Site 31/6, Baikonur, Kaz",Jun 27 2023 11:34 UTC,Meteor-M No.2-3,Soyuz 2.1b / Fregat,StatusActive,48.5,Success
SpaceX,"SLC-40, Cape Canaveral, FL, USA",Jun 23 2023 15:35 UTC,Starlink Group 5-12,Falcon 9 Block 5,StatusActive,52.0,Success
SpaceX,"SLC-4E, Vandenberg, CA, USA",Jun 22 2023 07:19 UTC,Starlink Group 5-7,Falcon 9 Block 5,StatusActive,52.0,Success
SpaceX,"SLC-40, Cape Canaveral, FL, USA",Jun 18 2023 22:21 UTC,SATRIA,Falcon 9 Block 5,StatusActive,62.0,Success
CASC,"LC-9, Taiyuan, China",Jun 15 2023 05:30 UTC,41 Satellites (Rideshare),Long March 2D,StatusActive,29.7,Success
SpaceX,"SLC-4E, Vandenberg, CA, USA",Jun 12 2023 21:35 UTC,Transporter-8 (Rideshare),Falcon 9 Block 5,StatusActive,52.0,Success
SpaceX,"SLC-40, Cape Canaveral, FL, USA",Jun 12 2023 07:10 UTC,Starlink Group 5-11,Falcon 9 Block 5,StatusActive,52.0,Success
SpaceX,"LC-39A, Kennedy Space Center, FL",Jun 05 2023 15:47 UTC,SpaceX CRS-28,Falcon 9 Block 5,StatusActive,62.0,Success
SpaceX,"SLC-40, Cape Canaveral, FL, USA",Jun 04 2023 12:20 UTC,Starlink Group 6-4,Falcon 9 Block 5,StatusActive,52.0,Success
SpaceX,"SLC-4E, Vandenberg, CA, USA",May 31 2023 06:02 UTC,Starlink Group 2-10,Falcon 9 Block 5,StatusActive,52.0,Success
CASC,"LC-9, Jiuquan, China",May 30 2023 01:31 UTC,Shenzhou 16 (Crewed),Long March 2F,StatusActive,150.0,Success
SpaceX,"SLC-40, Cape Canaveral, FL, USA",May 27 2023 03:46 UTC,Arabsat 7B (Badr-8),Falcon 9 Block 5,StatusActive,62.0,Success
Roscosmos,"Site 31/6, Baikonur, Kaz",May 24 2023 12:56 UTC,Progress MS-23,Soyuz 2.1a,StatusActive,48.5,Success
SpaceX,"LC-39A, Kennedy Space Center, FL",May 21 2023 21:37 UTC,Axiom-2 (Private Crew),Falcon 9 Block 5,StatusActive,160.0,Success
SpaceX,"SLC-4E, Vandenberg, CA, USA",May 20 2023 13:16 UTC,Iridium-9 & OneWeb 19,Falcon 9 Block 5,StatusActive,52.0,Success
SpaceX,"SLC-40, Cape Canaveral, FL, USA",May 19 2023 06:19 UTC,Starlink Group 6-3,Falcon 9 Block 5,StatusActive,52.0,Success
SpaceX,"SLC-40, Cape Canaveral, FL, USA",May 14 2023 05:03 UTC,Starlink Group 5-9,Falcon 9 Block 5,StatusActive,52.0,Success
CASC,"LC-9, Jiuquan, China",May 10 2023 13:22 UTC,Tianzhou 6,Long March 7,StatusActive,60.0,Success
SpaceX,"SLC-40, Cape Canaveral, FL, USA",May 04 2023 07:31 UTC,Starlink Group 5-6,Falcon 9 Block 5,StatusActive,52.0,Success
SpaceX,"LC-39A, Kennedy Space Center, FL",May 01 2023 00:26 UTC,ViaSat-3 Americas,Falcon Heavy,StatusActive,150.0,Success
SpaceX,"SLC-40, Cape Canaveral, FL, USA",Apr 27 2023 13:40 UTC,Starlink Group 3-5,Falcon 9 Block 5,StatusActive,52.0,Success
SpaceX,"Starbase, Boca Chica, TX",Apr 20 2023 13:33 UTC,IFT-1 (Starship Demo),Starship,StatusActive,200.0,Failure
CASC,"LC-9, Jiuquan, China",Apr 16 2023 01:36 UTC,Fengyun 3F,Long March 4C,StatusActive,30.0,Success
SpaceX,"SLC-4E, Vandenberg, CA, USA",Apr 15 2023 06:48 UTC,Transporter-7 (Rideshare),Falcon 9 Block 5,StatusActive,52.0,Success
Arianespace,"Guiana Space Centre",Apr 14 2023 12:14 UTC,JUICE (Jupiter Icy Moons),Ariane 5 ECA+,StatusRetired,175.0,Success
SpaceX,"SLC-40, Cape Canaveral, FL, USA",Apr 07 2023 04:30 UTC,Intelsat 40e (TEMPO),Falcon 9 Block 5,StatusActive,62.0,Success
CASC,"LC-9, Jiuquan, China",Apr 02 2023 08:48 UTC,Tianlong-2 Demo,Tianlong-2,StatusActive,15.0,Success
SpaceX,"SLC-4E, Vandenberg, CA, USA",Apr 02 2023 14:29 UTC,SDA Tranche 0A,Falcon 9 Block 5,StatusActive,62.0,Success
CASC,"LC-9, Jiuquan, China",Mar 31 2023 06:27 UTC,Yaogan 34-04,Long March 4C,StatusActive,30.0,Success
CASC,"LC-9, Taiyuan, China",Mar 30 2023 10:50 UTC,PIESAT-1 A-D,Long March 2D,StatusActive,29.7,Success
Relativity Space,"LC-16, Cape Canaveral, FL",Mar 23 2023 03:25 UTC,GLHF (3D Printed Rocket),Terran 1,StatusRetired,12.0,Failure
CASC,"LC-9, Jiuquan, China",Mar 17 2023 08:33 UTC,Gaofen 13-02,Long March 3B/E,StatusActive,50.0,Success
Rocket Lab,"Wallops, Virginia, USA",Mar 16 2023 22:00 UTC,Stronger Together,Electron,StatusActive,7.5,Success
SpaceX,"SLC-40, Cape Canaveral, FL, USA",Mar 17 2023 23:38 UTC,SES-18 & 19,Falcon 9 Block 5,StatusActive,62.0,Success
SpaceX,"SLC-4E, Vandenberg, CA, USA",Mar 17 2023 19:26 UTC,Starlink Group 2-8,Falcon 9 Block 5,StatusActive,52.0,Success
SpaceX,"LC-39A, Kennedy Space Center, FL",Mar 15 2023 00:30 UTC,SpaceX CRS-27,Falcon 9 Block 5,StatusActive,62.0,Success
CASC,"LC-3, Xichang, China",Mar 13 2023 11:02 UTC,Horus 2,Long March 2C,StatusActive,25.0,Success
SpaceX,"SLC-40, Cape Canaveral, FL, USA",Mar 09 2023 19:13 UTC,OneWeb #17 (40 sats),Falcon 9 Block 5,StatusActive,52.0,Success
CASC,"LC-9, Jiuquan, China",Mar 09 2023 22:41 UTC,Tianmu-1 03-06,Long March 4C,StatusActive,30.0,Success
SpaceX,"SLC-4E, Vandenberg, CA, USA",Mar 03 2023 18:38 UTC,Starlink Group 2-7,Falcon 9 Block 5,StatusActive,52.0,Success
SpaceX,"LC-39A, Kennedy Space Center, FL",Mar 02 2023 05:34 UTC,Crew-6 (Endeavour),Falcon 9 Block 5,StatusActive,145.0,Success
SpaceX,"SLC-40, Cape Canaveral, FL, USA",Feb 27 2023 23:13 UTC,Starlink Group 6-1 (V2 Mini),Falcon 9 Block 5,StatusActive,52.0,Success
Roscosmos,"Site 31/6, Baikonur, Kaz",Feb 24 2023 00:24 UTC,Soyuz MS-23 (Uncrewed),Soyuz 2.1a,StatusActive,90.0,Success
CASC,"LC-3, Xichang, China",Feb 23 2023 11:49 UTC,Zhongxing 26,Long March 3B/E,StatusActive,50.0,Success
SpaceX,"SLC-4E, Vandenberg, CA, USA",Feb 17 2023 19:12 UTC,Starlink Group 2-5,Falcon 9 Block 5,StatusActive,52.0,Success
SpaceX,"SLC-40, Cape Canaveral, FL, USA",Feb 12 2023 05:10 UTC,Starlink Group 5-4,Falcon 9 Block 5,StatusActive,52.0,Success
ISRO,"Satish Dhawan, India",Feb 10 2023 03:48 UTC,EOS-07 (SSLV-D2),SSLV,StatusActive,4.0,Success
Roscosmos,"Site 31/6, Baikonur, Kaz",Feb 09 2023 06:15 UTC,Progress MS-22,Soyuz 2.1a,StatusActive,48.5,Success
SpaceX,"SLC-40, Cape Canaveral, FL, USA",Feb 07 2023 01:32 UTC,Amazonas Nexus,Falcon 9 Block 5,StatusActive,62.0,Success
Roscosmos,"Site 31/6, Baikonur, Kaz",Feb 05 2023 09:12 UTC,Elektro-L No. 4,Proton-M,StatusActive,65.0,Success
SpaceX,"SLC-40, Cape Canaveral, FL, USA",Feb 02 2023 07:58 UTC,Starlink Group 5-3,Falcon 9 Block 5,StatusActive,52.0,Success
SpaceX,"SLC-4E, Vandenberg, CA, USA",Jan 31 2023 16:15 UTC,Starlink Group 2-6,Falcon 9 Block 5,StatusActive,52.0,Success
SpaceX,"SLC-40, Cape Canaveral, FL, USA",Jan 26 2023 09:32 UTC,Starlink Group 5-2,Falcon 9 Block 5,StatusActive,52.0,Success
SpaceX,"SLC-4E, Vandenberg, CA, USA",Jan 19 2023 15:43 UTC,Starlink Group 2-4,Falcon 9 Block 5,StatusActive,52.0,Success
SpaceX,"SLC-40, Cape Canaveral, FL, USA",Jan 18 2023 12:24 UTC,GPS III-06,Falcon 9 Block 5,StatusActive,52.0,Success
CASC,"LC-9, Taiyuan, China",Jan 15 2023 03:14 UTC,Qilu-2 & Qilu-3,Long March 2D,StatusActive,29.7,Success
CASC,"LC-9, Jiuquan, China",Jan 15 2023 03:14 UTC,Beidou-3 M23/M24,Long March 2D,StatusActive,29.7,Success
CASC,"LC-9, Jiuquan, China",Jan 13 2023 07:00 UTC,Yaogan 37 & Shiyan 22,Long March 2D,StatusActive,29.7,Success
CASC,"LC-3, Xichang, China",Jan 12 2023 18:10 UTC,Apstar 6E,Long March 2C,StatusActive,25.0,Success
ABL Space,"Kodiak, Alaska, USA",Jan 10 2023 23:27 UTC,Demo-1 (Maiden Flight),RS1,StatusActive,12.0,Failure
SpaceX,"SLC-40, Cape Canaveral, FL, USA",Jan 10 2023 04:50 UTC,OneWeb #16 (40 sats),Falcon 9 Block 5,StatusActive,52.0,Success
Virgin Orbit,"Spaceport Cornwall, UK",Jan 09 2023 23:08 UTC,Start Me Up (First UK Launch),LauncherOne,StatusRetired,12.0,Failure
Galactic Energy,"LC-9, Jiuquan, China",Jan 09 2023 05:04 UTC,Give Me Five (5 sats),Ceres-1,StatusActive,4.0,Success
CASC,"Wenchang, China",Jan 08 2023 22:00 UTC,Shijian 23,Long March 7A,StatusActive,60.0,Success
SpaceX,"SLC-40, Cape Canaveral, FL, USA",Jan 03 2023 14:56 UTC,Transporter-6 (Rideshare),Falcon 9 Block 5,StatusActive,52.0,Success
CASC,"LC-9, Jiuquan, China",Dec 30 2022 02:41 UTC,Gaofen 11-04,Long March 4B,StatusActive,30.0,Success
CASC,"LC-3, Xichang, China",Dec 29 2022 04:43 UTC,Shiyan 10-02,Long March 3B/E,StatusActive,50.0,Success
SpaceX,"SLC-40, Cape Canaveral, FL, USA",Dec 28 2022 09:34 UTC,Starlink Group 5-1,Falcon 9 Block 5,StatusActive,52.0,Success
SpaceX,"LC-39A, Kennedy Space Center, FL",Dec 17 2022 21:32 UTC,Starlink Group 4-37,Falcon 9 Block 5,StatusActive,52.0,Success
SpaceX,"SLC-40, Cape Canaveral, FL, USA",Dec 16 2022 22:42 UTC,O3b mPOWER 1 & 2,Falcon 9 Block 5,StatusActive,62.0,Success
SpaceX,"SLC-4E, Vandenberg, CA, USA",Dec 16 2022 11:46 UTC,SWOT,Falcon 9 Block 5,StatusActive,62.0,Success
LandSpace,"LC-9, Jiuquan, China",Dec 14 2022 08:30 UTC,Zhuque-2 Demo,Zhuque-2,StatusActive,25.0,Failure
CASC,"LC-3, Xichang, China",Dec 14 2022 18:25 UTC,Yaogan 36-04,Long March 2D,StatusActive,29.7,Success
Arianespace,"Guiana Space Centre",Dec 13 2022 20:30 UTC,MTG-I1 & Galaxy 35/36,Ariane 5 ECA+,StatusRetired,175.0,Success
SpaceX,"SLC-40, Cape Canaveral, FL, USA",Dec 11 2022 07:38 UTC,HAKUTO-R M1 (Lunar),Falcon 9 Block 5,StatusActive,62.0,Success
CASC,"Yellow Sea Platform",Dec 09 2022 06:35 UTC,14 Satellites,Jielong 3,StatusActive,20.0,Success
CASC,"LC-3, Xichang, China",Dec 08 2022 18:31 UTC,Gaofen 5-01R,Long March 2D,StatusActive,29.7,Success
SpaceX,"LC-39A, Kennedy Space Center, FL",Nov 26 2022 19:20 UTC,SpaceX CRS-26,Falcon 9 Block 5,StatusActive,62.0,Success
CASC,"LC-9, Jiuquan, China",Nov 29 2022 15:08 UTC,Shenzhou 15 (Crewed),Long March 2F,StatusActive,150.0,Success
CASC,"LC-3, Xichang, China",Nov 27 2022 12:23 UTC,Yaogan 36-03,Long March 2D,StatusActive,29.7,Success
SpaceX,"SLC-40, Cape Canaveral, FL, USA",Nov 23 2022 02:57 UTC,Eutelsat 10B,Falcon 9 Block 5,StatusActive,62.0,Success
NASA,"LC-39B, Kennedy Space Center, FL",Nov 16 2022 06:47 UTC,Artemis I (Uncrewed),SLS Block 1,StatusActive,2000.0,Success
SpaceX,"SLC-40, Cape Canaveral, FL, USA",Nov 12 2022 16:06 UTC,Galaxy 31 & 32,Falcon 9 Block 5,StatusActive,62.0,Success
CASC,"LC-9, Jiuquan, China",Nov 12 2022 02:03 UTC,Tianzhou 5,Long March 7,StatusActive,60.0,Success
ULA,"SLC-3E, Vandenberg, CA, USA",Nov 10 2022 09:49 UTC,JPSS-2 & LOFTID,Atlas V 401,StatusRetired,132.0,Success
Northrop Grumman,"LP-0A, Wallops Island, VA, USA",Nov 07 2022 10:32 UTC,Cygnus NG-18,Antares 230+,StatusRetired,85.0,Success
SpaceX,"SLC-40, Cape Canaveral, FL, USA",Nov 03 2022 05:22 UTC,Hotbird 13G,Falcon 9 Block 5,StatusActive,62.0,Success
SpaceX,"LC-39A, Kennedy Space Center, FL",Nov 01 2022 13:41 UTC,USSF-44,Falcon Heavy,StatusActive,150.0,Success
CASC,"Wenchang, China",Oct 31 2022 07:37 UTC,Mengtian (Station Module),Long March 5B,StatusActive,150.0,Success
SpaceX,"SLC-4E, Vandenberg, CA, USA",Oct 28 2022 01:14 UTC,Starlink Group 4-31,Falcon 9 Block 5,StatusActive,52.0,Success
Roscosmos,"Site 31/6, Baikonur, Kaz",Oct 26 2022 00:20 UTC,Progress MS-21,Soyuz 2.1a,StatusActive,48.5,Success
SpaceX,"SLC-40, Cape Canaveral, FL, USA",Oct 20 2022 14:50 UTC,Starlink Group 4-36,Falcon 9 Block 5,StatusActive,52.0,Success
SpaceX,"SLC-40, Cape Canaveral, FL, USA",Oct 15 2022 05:22 UTC,Hotbird 13F,Falcon 9 Block 5,StatusActive,62.0,Success
CASC,"LC-3, Xichang, China",Oct 14 2022 19:12 UTC,Yaogan 36-02,Long March 2D,StatusActive,29.7,Success
SpaceX,"SLC-40, Cape Canaveral, FL, USA",Oct 08 2022 23:05 UTC,Galaxy 33 & 34,Falcon 9 Block 5,StatusActive,62.0,Success
CASC,"LC-9, Jiuquan, China",Oct 08 2022 23:43 UTC,ASO-S (Kuafu-1),Long March 2D,StatusActive,29.7,Success
SpaceX,"SLC-4E, Vandenberg, CA, USA",Oct 05 2022 23:10 UTC,Starlink Group 4-29,Falcon 9 Block 5,StatusActive,52.0,Success
SpaceX,"SLC-40, Cape Canaveral, FL, USA",Oct 05 2022 16:00 UTC,Crew-5 (Endurance),Falcon 9 Block 5,StatusActive,145.0,Success
Firefly,"SLC-2W, Vandenberg, CA, USA",Oct 01 2022 07:01 UTC,To The Black (Alpha Flight 2),Alpha,StatusActive,15.0,Success
CASC,"LC-3, Xichang, China",Sep 26 2022 13:38 UTC,Yaogan 36-01,Long March 2D,StatusActive,29.7,Success
SpaceX,"SLC-40, Cape Canaveral, FL, USA",Sep 24 2022 23:32 UTC,Starlink Group 4-35,Falcon 9 Block 5,StatusActive,52.0,Success
ULA,"SLC-4E, Vandenberg, CA, USA",Sep 24 2022 22:25 UTC,NROL-91,Delta IV Heavy,StatusRetired,350.0,Success
Roscosmos,"Site 31/6, Baikonur, Kaz",Sep 21 2022 13:54 UTC,Soyuz MS-22,Soyuz 2.1a,StatusActive,90.0,Success
SpaceX,"SLC-40, Cape Canaveral, FL, USA",Sep 19 2022 00:18 UTC,Starlink Group 4-34,Falcon 9 Block 5,StatusActive,52.0,Success
Rocket Lab,"LC-1B, Mahia, New Zealand",Sep 15 2022 20:38 UTC,Owl Spreads Its Wings,Electron,StatusActive,7.5,Success
CASC,"Wenchang, China",Sep 13 2022 13:18 UTC,Zhongxing-1E,Long March 7A,StatusActive,60.0,Success
SpaceX,"LC-39A, Kennedy Space Center, FL",Sep 11 2022 01:20 UTC,Starlink Group 4-2,Falcon 9 Block 5,StatusActive,52.0,Success
Arianespace,"Guiana Space Centre",Sep 07 2022 21:45 UTC,Eutelsat Konnect VHTS,Ariane 5 ECA+,StatusRetired,175.0,Success
CASC,"LC-3, Xichang, China",Sep 06 2022 04:19 UTC,Yaogan 35-05,Long March 2D,StatusActive,29.7,Success
SpaceX,"SLC-40, Cape Canaveral, FL, USA",Sep 04 2022 02:04 UTC,Starlink Group 4-20,Falcon 9 Block 5,StatusActive,52.0,Success
CASC,"LC-9, Jiuquan, China",Sep 02 2022 23:44 UTC,Yaogan 33-02,Long March 4C,StatusActive,30.0,Success
SpaceX,"SLC-4E, Vandenberg, CA, USA",Aug 31 2022 05:40 UTC,Starlink Group 3-4,Falcon 9 Block 5,StatusActive,52.0,Success
SpaceX,"SLC-40, Cape Canaveral, FL, USA",Aug 28 2022 03:41 UTC,Starlink Group 4-23,Falcon 9 Block 5,StatusActive,52.0,Success
Roscosmos,"Site 31/6, Baikonur, Kaz",Aug 21 2022 09:47 UTC,Soyuz MS-22,Soyuz 2.1a,StatusActive,90.0,Success
CASC,"LC-3, Xichang, China",Aug 19 2022 17:37 UTC,Yaogan 35-04,Long March 2D,StatusActive,29.7,Success
SpaceX,"SLC-40, Cape Canaveral, FL, USA",Aug 19 2022 19:21 UTC,Starlink Group 4-27,Falcon 9 Block 5,StatusActive,52.0,Success
SpaceX,"SLC-4E, Vandenberg, CA, USA",Aug 12 2022 21:40 UTC,Starlink Group 3-3,Falcon 9 Block 5,StatusActive,52.0,Success
CASC,"LC-9, Taiyuan, China",Aug 10 2022 04:50 UTC,Jilin-1 03D/01A,Long March 6,StatusActive,35.0,Success
SpaceX,"LC-39A, Kennedy Space Center, FL",Aug 10 2022 02:14 UTC,Starlink Group 4-26,Falcon 9 Block 5,StatusActive,52.0,Success
ISRO,"Satish Dhawan, India",Aug 07 2022 03:48 UTC,EOS-02 (SSLV-D1),SSLV,StatusActive,4.0,Failure
CASC,"LC-9, Jiuquan, China",Aug 05 2022 04:11 UTC,Yaogan 34-03,Long March 4C,StatusActive,30.0,Success
Rocket Lab,"LC-1B, Mahia, New Zealand",Aug 04 2022 05:00 UTC,Antipodean Adventure,Electron,StatusActive,7.5,Success
CASC,"LC-9, Taiyuan, China",Aug 04 2022 03:08 UTC,TECIS,Long March 4B,StatusActive,30.0,Success
SpaceX,"SLC-40, Cape Canaveral, FL, USA",Aug 04 2022 23:08 UTC,Danuri (KPLO - Lunar),Falcon 9 Block 5,StatusActive,62.0,Success
CASC,"LC-9, Jiuquan, China",Aug 04 2022 16:00 UTC,Reusable Experimental Spacecraft,Long March 2F,StatusActive,60.0,Success
CASC,"LC-3, Xichang, China",Jul 29 2022 13:28 UTC,Yaogan 35-03,Long March 2D,StatusActive,29.7,Success
SpaceX,"LC-39A, Kennedy Space Center, FL",Jul 24 2022 13:38 UTC,Starlink Group 4-25,Falcon 9 Block 5,StatusActive,52.0,Success
SpaceX,"SLC-4E, Vandenberg, CA, USA",Jul 22 2022 17:39 UTC,Starlink Group 3-2,Falcon 9 Block 5,StatusActive,52.0,Success
CASC,"Wenchang, China",Jul 24 2022 06:22 UTC,Wentian (Space Station Module),Long March 5B,StatusActive,150.0,Success
SpaceX,"SLC-40, Cape Canaveral, FL, USA",Jul 17 2022 14:20 UTC,Starlink Group 4-22,Falcon 9 Block 5,StatusActive,52.0,Success
SpaceX,"SLC-4E, Vandenberg, CA, USA",Jul 17 2022 14:20 UTC,Starlink Group 3-2,Falcon 9 Block 5,StatusActive,52.0,Success
CASC,"LC-9, Taiyuan, China",Jul 15 2022 22:57 UTC,Siwei Gaojing 2-01/02,Long March 2C,StatusActive,25.0,Success
SpaceX,"LC-39A, Kennedy Space Center, FL",Jul 15 2022 00:44 UTC,SpaceX CRS-25,Falcon 9 Block 5,StatusActive,62.0,Success
CASC,"LC-3, Xichang, China",Jul 12 2022 16:30 UTC,Tianlian II-03,Long March 3B/E,StatusActive,50.0,Success
SpaceX,"SLC-40, Cape Canaveral, FL, USA",Jul 11 2022 01:39 UTC,Starlink Group 4-21,Falcon 9 Block 5,StatusActive,52.0,Success
SpaceX,"SLC-4E, Vandenberg, CA, USA",Jul 07 2022 13:11 UTC,Starlink Group 3-1,Falcon 9 Block 5,StatusActive,52.0,Success
Roscosmos,"Site 31/6, Baikonur, Kaz",Jul 07 2022 09:18 UTC,Progress MS-21,Soyuz 2.1a,StatusActive,48.5,Success
Virgin Orbit,"Cosmic Girl, Mojave, USA",Jul 02 2022 06:00 UTC,Straight Up,LauncherOne,StatusRetired,12.0,Success
ULA,"SLC-41, Cape Canaveral, FL, USA",Jul 01 2022 23:15 UTC,USSF-12 (WFOV),Atlas V 541,StatusRetired,153.0,Success
SpaceX,"SLC-40, Cape Canaveral, FL, USA",Jun 29 2022 21:04 UTC,SES-22,Falcon 9 Block 5,StatusActive,62.0,Success
Rocket Lab,"LC-1B, Mahia, New Zealand",Jun 28 2022 09:55 UTC,CAPSTONE (Lunar Mission),Electron,StatusActive,10.0,Success
CASC,"LC-9, Jiuquan, China",Jun 27 2022 15:46 UTC,Gaofen 12-03,Long March 4C,StatusActive,30.0,Success
CASC,"LC-3, Xichang, China",Jun 23 2022 02:22 UTC,Yaogan 35-02,Long March 2D,StatusActive,29.7,Success
Arianespace,"Guiana Space Centre",Jun 22 2022 21:50 UTC,MEASAT-3d & GSAT-24,Ariane 5 ECA+,StatusRetired,175.0,Success
ExPace,"LC-9, Jiuquan, China",Jun 22 2022 02:08 UTC,Tianxing-1,Kuaizhou 1A,StatusActive,6.0,Success
KARI,"Naro Space Center, South Korea",Jun 21 2022 07:00 UTC,Nuri Test Flight 2,KSLV-II (Nuri),StatusActive,45.0,Success
SpaceX,"SLC-40, Cape Canaveral, FL, USA",Jun 19 2022 04:27 UTC,Globalstar-2 FM15,Falcon 9 Block 5,StatusActive,62.0,Success
SpaceX,"SLC-4E, Vandenberg, CA, USA",Jun 18 2022 14:19 UTC,SARah-1,Falcon 9 Block 5,StatusActive,62.0,Success
SpaceX,"LC-39A, Kennedy Space Center, FL",Jun 17 2022 16:09 UTC,Starlink Group 4-19,Falcon 9 Block 5,StatusActive,52.0,Success
Astra,"SLC-46, Cape Canaveral, FL, USA",Jun 12 2022 17:43 UTC,TROPICS Flight 1,Rocket 3.3,StatusRetired,2.5,Failure
SpaceX,"SLC-40, Cape Canaveral, FL, USA",Jun 08 2022 21:04 UTC,Nilesat 301,Falcon 9 Block 5,StatusActive,62.0,Success
CASC,"LC-9, Jiuquan, China",Jun 05 2022 02:44 UTC,Shenzhou 14 (Crewed),Long March 2F,StatusActive,150.0,Success
Roscosmos,"Site 31/6, Baikonur, Kaz",Jun 03 2022 09:32 UTC,Progress MS-20,Soyuz 2.1a,StatusActive,48.5,Success
CASC,"LC-3, Xichang, China",Jun 02 2022 04:00 UTC,Geely-01 (9 satellites),Long March 2C,StatusActive,25.0,Success
SpaceX,"SLC-40, Cape Canaveral, FL, USA",May 25 2022 18:35 UTC,Transporter-5 (Rideshare),Falcon 9 Block 5,StatusActive,52.0,Success
CASC,"LC-9, Jiuquan, China",May 20 2022 10:30 UTC,Test Satellites 1 & 2,Long March 2C,StatusActive,25.0,Success
ULA,"SLC-41, Cape Canaveral, FL, USA",May 19 2022 22:54 UTC,Starliner OFT-2,Atlas V N22,StatusActive,153.0,Success
Roscosmos,"Site 43/4, Plesetsk, Russia",May 19 2022 08:03 UTC,Kosmos 2556,Soyuz 2.1a,StatusActive,48.5,Success
